step,loss
1,1.0035784244537354
2,0.935310959815979
3,1.1021517515182495
4,0.5676514506340027
5,0.6246908903121948
6,0.37424981594085693
7,0.4154871702194214
8,0.271481990814209
9,0.2300218790769577
10,0.2226974070072174
11,0.1983424425125122
12,0.18674102425575256
13,0.19847305119037628
14,0.19944241642951965
15,0.183405339717865
16,0.16275160014629364
17,0.19133427739143372
18,0.2039501965045929
19,0.15658408403396606
20,0.16780897974967957
21,0.16974376142024994
22,0.16671912372112274
23,0.12813971936702728
24,0.16268254816532135
25,0.12747515738010406
26,0.12013013660907745
27,0.1692410409450531
28,0.14251606166362762
29,0.1215759739279747
30,0.11701247096061707
31,0.11346614360809326
32,0.10240786522626877
33,0.09305854886770248
34,0.10157149285078049
35,0.071326345205307
36,0.10881993174552917
37,0.0735616609454155
38,0.07737307250499725
39,0.0837346687912941
40,0.1112171858549118
41,0.0964847281575203
42,0.08292315900325775
43,0.0752994641661644
44,0.09931742399930954
45,0.07171475142240524
46,0.07749330252408981
47,0.12167556583881378
48,0.0961613729596138
49,0.10417243093252182
50,0.08154446631669998
51,0.07393535226583481
52,0.11719390004873276
53,0.06533133238554001
54,0.09045898169279099
55,0.09176374971866608
56,0.07665109634399414
57,0.06109132617712021
58,0.07545001059770584
59,0.07761769741773605
60,0.10475903004407883
61,0.06360878795385361
62,0.06822621077299118
63,0.11075564473867416
64,0.07223819941282272
65,0.07584331184625626
66,0.08666016161441803
67,0.07003826647996902
68,0.07632703334093094
69,0.08672130107879639
70,0.09560442715883255
71,0.12011892348527908
72,0.07455199211835861
73,0.08079992234706879
74,0.061164796352386475
75,0.09565193951129913
76,0.06833728402853012
77,0.06181997060775757
78,0.07332383096218109
79,0.06117263808846474
80,0.09008010476827621
81,0.0621129535138607
82,0.07267597317695618
83,0.07729874551296234
84,0.09414144605398178
85,0.08664825558662415
86,0.061340004205703735
87,0.10460761934518814
88,0.09610746055841446
89,0.06665489822626114
90,0.06617660820484161
91,0.0823921337723732
92,0.06865663081407547
93,0.07377452403306961
94,0.07928524911403656
95,0.09640426933765411
96,0.05892854556441307
97,0.06626588106155396
98,0.0680728331208229
99,0.07885106652975082
100,0.07055284082889557
101,0.06988893449306488
102,0.06938725709915161
103,0.060351088643074036
104,0.057243604212999344
105,0.07354709506034851
106,0.07492660731077194
107,0.09628451615571976
108,0.08825664967298508
109,0.07139381766319275
110,0.07209943234920502
111,0.07268138229846954
112,0.06463595479726791
113,0.08667610585689545
114,0.06169749051332474
115,0.0600920096039772
116,0.0790247768163681
117,0.077000692486763
118,0.06948315352201462
119,0.05899336189031601
120,0.07115527987480164
121,0.06368568539619446
122,0.06123741343617439
123,0.06454186141490936
124,0.07777963578701019
125,0.07049909979104996
126,0.05058920010924339
